device_id,dataset,device_type,n_records_assigned,n_train,n_val,n_test
BPM-001,cvd,bp_monitor,6797,4777,664,1356
BPM-002,cvd,bp_monitor,6948,4849,680,1419
BPM-003,cvd,bp_monitor,6836,4736,698,1402
BPM-004,cvd,bp_monitor,6699,4742,658,1299
BPM-005,cvd,bp_monitor,6919,4820,676,1423
BPM-006,cvd,bp_monitor,6951,4898,703,1350
BPM-007,cvd,bp_monitor,6925,4816,702,1407
BPM-008,cvd,bp_monitor,6847,4818,678,1351
BPM-009,cvd,bp_monitor,6941,4832,724,1385
BPM-010,cvd,bp_monitor,6803,4778,683,1342
GLU-001,diabetes,glucose_meter,9868,6864,1014,1990
GLU-002,diabetes,glucose_meter,10008,6993,976,2039
GLU-003,diabetes,glucose_meter,9969,7012,1011,1946
GLU-004,diabetes,glucose_meter,10162,7075,1013,2074
GLU-005,diabetes,glucose_meter,9985,7017,995,1973
GLU-006,diabetes,glucose_meter,9985,7075,963,1947
GLU-007,diabetes,glucose_meter,9978,6983,997,1998
GLU-008,diabetes,glucose_meter,10126,7031,1026,2069
GLU-009,diabetes,glucose_meter,9987,7022,984,1981
GLU-010,diabetes,glucose_meter,9932,6927,1021,1984
